Iteration,Sim_0,Sim_1,Sim_2
482,[95.0],[549.0],[317.0]
483,[25.0],[170.0],[670.0]
484,[966.0],[813.0],[952.0]
485,[220.0],[70.0],[842.0]
486,[73.0],[619.0],[14.0]
487,[178.0],[778.0],[721.0]
488,[778.0],[766.0],[867.0]
489,[731.0],[881.0],[592.0]
490,[549.0],[615.0],[986.0]
491,[70.0],[795.0],[387.0]
492,[461.0],[780.0],[833.0]
493,[321.0],[547.0],[602.0]
494,[517.0],[543.0],[609.0]
495,[503.0],[906.0],[118.0]
496,[444.0],[814.0],[410.0]
497,[694.0],[211.0],[905.0]
498,[79.0],[176.0],[135.0]
499,[333.0],[609.0],[706.0]
500,[429.0],[264.0],[769.0]
501,[460.0],[294.0],[991.0]
502,[380.0],[772.0],[85.0]
503,[459.0],[655.0],[25.0]
504,[604.0],[539.0],[315.0]
505,[718.0],[579.0],[107.0]
506,[812.0],[588.0],[558.0]
507,[254.0],[44.0],[450.0]
508,[682.0],[908.0],[257.0]
509,[670.0],[144.0],[51.0]
510,[833.0],[669.0],[419.0]
511,[842.0],[466.0],[255.0]
512,[948.0],[975.0],[38.0]
513,[33.0],[894.0],[710.0]
514,[720.0],[378.0],[92.0]
515,[115.0],[91.0],[765.0]
516,[387.0],[680.0],[157.0]
517,[502.0],[495.0],[252.0]
518,[46.0],[562.0],[48.0]
519,[761.0],[946.0],[373.0]
520,[102.0],[179.0],[533.0]
521,[404.0],[754.0],[187.0]
522,[207.0],[66.0],[933.0]
523,[841.0],[152.0],[679.0]
524,[970.0],[302.0],[735.0]
525,[166.0],[287.0],[659.0]
526,[934.0],[781.0],[582.0]
527,[342.0],[438.0],[96.0]
528,[952.0],[74.0],[686.0]
529,[59.0],[800.0],[421.0]
530,[890.0],[9.0],[758.0]
531,[732.0],[373.0],[76.0]
532,[364.0],[696.0],[767.0]
533,[52.0],[920.0],[554.0]
534,[474.0],[183.0],[922.0]
535,[725.0],[735.0],[981.0]
536,[814.0],[160.0],[619.0]
537,[920.0],[110.0],[709.0]
538,[7.0],[943.0],[296.0]
539,[766.0],[965.0],[627.0]
540,[80.0],[330.0],[688.0]
541,[352.0],[660.0],[534.0]
542,[877.0],[268.0],[327.0]
543,[91.0],[22.0],[793.0]
544,[17.0],[21.0],[968.0]
545,[933.0],[726.0],[17.0]
546,[314.0],[269.0],[673.0]
547,[524.0],[416.0],[127.0]
548,[116.0],[896.0],[437.0]
549,[820.0],[888.0],[692.0]
550,[509.0],[504.0],[233.0]
551,[304.0],[38.0],[249.0]
552,[219.0],[214.0],[507.0]
553,[759.0],[138.0],[795.0]
554,[421.0],[986.0],[217.0]
555,[420.0],[630.0],[695.0]
556,[891.0],[545.0],[467.0]
557,[308.0],[848.0],[918.0]
558,[727.0],[231.0],[747.0]
559,[127.0],[743.0],[858.0]
560,[868.0],[876.0],[336.0]
561,[336.0],[350.0],[435.0]
562,[774.0],[657.0],[618.0]
563,[680.0],[115.0],[270.0]
564,[611.0],[55.0],[420.0]
565,[126.0],[777.0],[53.0]
566,[574.0],[890.0],[30.0]
567,[276.0],[235.0],[287.0]
568,[67.0],[304.0],[191.0]
569,[884.0],[421.0],[662.0]
570,[120.0],[648.0],[204.0]
571,[547.0],[759.0],[803.0]
572,[881.0],[420.0],[853.0]
573,[618.0],[723.0],[961.0]
574,[707.0],[355.0],[384.0]
575,[437.0],[75.0],[972.0]
576,[543.0],[245.0],[805.0]
577,[781.0],[959.0],[8.0]
578,[62.0],[450.0],[2.0]
579,[560.0],[984.0],[389.0]
580,[337.0],[86.0],[203.0]
581,[137.0],[361.0],[156.0]
582,[609.0],[994.0],[723.0]
583,[943.0],[147.0],[530.0]
584,[892.0],[352.0],[594.0]
585,[716.0],[684.0],[405.0]
586,[931.0],[719.0],[631.0]
587,[828.0],[877.0],[950.0]
588,[185.0],[174.0],[820.0]
589,[376.0],[715.0],[35.0]
590,[322.0],[828.0],[378.0]
591,[959.0],[393.0],[731.0]
592,[325.0],[364.0],[517.0]
593,[176.0],[25.0],[503.0]
594,[211.0],[240.0],[271.0]
595,[619.0],[116.0],[302.0]
596,[709.0],[385.0],[325.0]
597,[742.0],[820.0],[707.0]
598,[627.0],[112.0],[651.0]
599,[530.0],[296.0],[719.0]
600,[851.0],[279.0],[120.0]
601,[48.0],[727.0],[385.0]
602,[170.0],[51.0],[3.0]
603,[811.0],[558.0],[970.0]
604,[737.0],[805.0],[841.0]
605,[388.0],[751.0],[54.0]
606,[398.0],[52.0],[501.0]
607,[373.0],[720.0],[949.0]
608,[984.0],[571.0],[119.0]
609,[159.0],[67.0],[923.0]
610,[536.0],[308.0],[884.0]
611,[92.0],[851.0],[611.0]
612,[419.0],[461.0],[979.0]
613,[75.0],[293.0],[816.0]
614,[38.0],[185.0],[990.0]
615,[165.0],[658.0],[276.0]
616,[504.0],[76.0],[28.0]
617,[719.0],[212.0],[113.0]
618,[894.0],[942.0],[196.0]
619,[9.0],[710.0],[849.0]
620,[425.0],[972.0],[520.0]
621,[2.0],[45.0],[308.0]
622,[683.0],[92.0],[321.0]
623,[257.0],[157.0],[565.0]
624,[235.0],[841.0],[993.0]
625,[265.0],[419.0],[910.0]
626,[217.0],[774.0],[359.0]
627,[798.0],[277.0],[876.0]
628,[723.0],[398.0],[438.0]
629,[266.0],[218.0],[337.0]
630,[462.0],[447.0],[959.0]
631,[800.0],[217.0],[777.0]
632,[157.0],[388.0],[890.0]
633,[500.0],[611.0],[235.0]
634,[74.0],[732.0],[630.0]
635,[292.0],[653.0],[800.0]
636,[438.0],[627.0],[966.0]
637,[90.0],[918.0],[9.0]
638,[132.0],[884.0],[91.0]
639,[763.0],[990.0],[778.0]
