Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49
1079,[829.0],[590.0],[525.0],[1376.0],[3.0],[754.0],[1497.0],[1330.0],[225.0],[585.0],[712.0],[1257.0],[626.0],[1199.0],[1207.0],[158.0],[1364.0],[426.0],[556.0],[61.0],[1497.0],[24.0],[225.0],[640.0],[309.0],[1237.0],[1419.0],[295.0],[693.0],[580.0],[874.0],[490.0],[1489.0],[268.0],[562.0],[808.0],[1300.0],[1147.0],[1376.0],[1454.0],[1260.0],[1471.0],[1159.0],[1397.0],[1443.0],[1311.0],[612.0],[426.0],[1184.0],[936.0]
1080,[663.0],[286.0],[225.0],[1356.0],[105.0],[1177.0],[360.0],[100.0],[155.0],[1497.0],[693.0],[61.0],[1381.0],[1376.0],[1389.0],[79.0],[752.0],[1124.0],[290.0],[413.0],[400.0],[356.0],[1227.0],[1263.0],[1093.0],[862.0],[1058.0],[712.0],[377.0],[1219.0],[772.0],[329.0],[1320.0],[853.0],[492.0],[909.0],[1463.0],[90.0],[295.0],[155.0],[887.0],[999.0],[1390.0],[60.0],[1065.0],[53.0],[94.0],[793.0],[244.0],[1384.0]
1081,[349.0],[874.0],[153.0],[752.0],[1364.0],[1412.0],[1233.0],[752.0],[652.0],[61.0],[925.0],[945.0],[1219.0],[1017.0],[1276.0],[999.0],[63.0],[997.0],[225.0],[382.0],[762.0],[1381.0],[940.0],[426.0],[494.0],[1047.0],[63.0],[1086.0],[1219.0],[153.0],[316.0],[997.0],[568.0],[1049.0],[624.0],[1177.0],[1276.0],[1257.0],[189.0],[286.0],[312.0],[453.0],[1219.0],[75.0],[657.0],[1453.0],[752.0],[901.0],[1354.0],[861.0]
1082,[1314.0],[1204.0],[1073.0],[483.0],[626.0],[298.0],[605.0],[1488.0],[177.0],[309.0],[857.0],[663.0],[1237.0],[177.0],[327.0],[492.0],[997.0],[713.0],[1049.0],[309.0],[788.0],[1119.0],[568.0],[1412.0],[871.0],[949.0],[203.0],[805.0],[637.0],[925.0],[1201.0],[232.0],[1047.0],[525.0],[1489.0],[538.0],[100.0],[316.0],[1202.0],[1435.0],[926.0],[39.0],[557.0],[105.0],[1376.0],[1363.0],[483.0],[112.0],[325.0],[407.0]
1083,[215.0],[521.0],[54.0],[346.0],[1008.0],[612.0],[90.0],[617.0],[693.0],[740.0],[197.0],[942.0],[151.0],[225.0],[238.0],[1211.0],[839.0],[568.0],[1454.0],[1376.0],[1339.0],[515.0],[433.0],[1430.0],[1049.0],[1488.0],[1138.0],[740.0],[415.0],[1046.0],[588.0],[1049.0],[882.0],[1419.0],[557.0],[605.0],[1076.0],[107.0],[577.0],[693.0],[510.0],[838.0],[663.0],[1488.0],[674.0],[1185.0],[1242.0],[788.0],[563.0],[926.0]
1084,[1253.0],[312.0],[1009.0],[545.0],[384.0],[590.0],[1339.0],[974.0],[982.0],[703.0],[1202.0],[788.0],[831.0],[939.0],[693.0],[1242.0],[1201.0],[1144.0],[1045.0],[480.0],[1397.0],[54.0],[1208.0],[612.0],[580.0],[237.0],[263.0],[1043.0],[70.0],[1009.0],[1229.0],[947.0],[788.0],[635.0],[857.0],[66.0],[155.0],[666.0],[1245.0],[415.0],[1066.0],[349.0],[935.0],[42.0],[740.0],[87.0],[346.0],[1403.0],[39.0],[415.0]
1085,[1211.0],[666.0],[1398.0],[1059.0],[1341.0],[1059.0],[362.0],[60.0],[878.0],[871.0],[89.0],[287.0],[558.0],[218.0],[98.0],[887.0],[562.0],[949.0],[10.0],[871.0],[494.0],[408.0],[962.0],[1363.0],[105.0],[979.0],[512.0],[921.0],[889.0],[1202.0],[1047.0],[1263.0],[237.0],[457.0],[617.0],[1251.0],[974.0],[1376.0],[1207.0],[806.0],[512.0],[463.0],[992.0],[1008.0],[340.0],[631.0],[229.0],[715.0],[959.0],[189.0]
1086,[940.0],[607.0],[1207.0],[1298.0],[319.0],[752.0],[968.0],[1358.0],[637.0],[1341.0],[191.0],[1461.0],[545.0],[106.0],[174.0],[1059.0],[928.0],[298.0],[1435.0],[10.0],[290.0],[189.0],[557.0],[482.0],[229.0],[151.0],[1085.0],[839.0],[1443.0],[1071.0],[605.0],[1093.0],[93.0],[203.0],[1358.0],[356.0],[220.0],[558.0],[807.0],[637.0],[1432.0],[697.0],[215.0],[206.0],[325.0],[878.0],[981.0],[745.0],[332.0],[39.0]
1087,[812.0],[1201.0],[1320.0],[78.0],[1202.0],[638.0],[290.0],[1233.0],[357.0],[1403.0],[1049.0],[626.0],[697.0],[936.0],[112.0],[949.0],[1047.0],[1066.0],[1249.0],[89.0],[926.0],[949.0],[527.0],[861.0],[1497.0],[1408.0],[356.0],[349.0],[963.0],[8.0],[48.0],[562.0],[626.0],[414.0],[89.0],[919.0],[693.0],[1463.0],[349.0],[861.0],[713.0],[748.0],[61.0],[1057.0],[138.0],[303.0],[1174.0],[805.0],[921.0],[1389.0]
1088,[612.0],[295.0],[171.0],[229.0],[740.0],[942.0],[480.0],[637.0],[365.0],[1443.0],[1091.0],[309.0],[399.0],[1119.0],[1249.0],[974.0],[384.0],[382.0],[963.0],[1058.0],[1251.0],[539.0],[666.0],[1352.0],[1008.0],[1031.0],[745.0],[638.0],[20.0],[1049.0],[237.0],[939.0],[377.0],[87.0],[400.0],[153.0],[1233.0],[1229.0],[999.0],[1419.0],[911.0],[786.0],[781.0],[319.0],[1172.0],[405.0],[1363.0],[684.0],[738.0],[945.0]
