Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49
0,[531.0],[531.0],[1136.0],[118.0],[821.0],[351.0],[821.0],[112.0],[531.0],[531.0],[531.0],[377.0],[1062.0],[531.0],[317.0],[531.0],[821.0],[821.0],[153.0],[531.0],[52.0],[531.0],[531.0],[68.0],[1121.0],[531.0],[995.0],[165.0],[531.0],[551.0],[759.0],[821.0],[1080.0],[531.0],[821.0],[1496.0],[966.0],[821.0],[12.0],[719.0],[531.0],[531.0],[531.0],[1369.0],[1049.0],[199.0],[1000.0],[531.0],[531.0],[67.0]
1,[506.0],[1464.0],[531.0],[531.0],[559.0],[322.0],[531.0],[531.0],[996.0],[1464.0],[325.0],[726.0],[1407.0],[568.0],[531.0],[1464.0],[978.0],[629.0],[533.0],[710.0],[531.0],[1464.0],[1464.0],[1438.0],[821.0],[1344.0],[531.0],[742.0],[1464.0],[1044.0],[531.0],[26.0],[30.0],[821.0],[852.0],[531.0],[1041.0],[531.0],[984.0],[531.0],[1104.0],[821.0],[36.0],[1343.0],[531.0],[922.0],[1291.0],[1464.0],[1464.0],[1469.0]
2,[1429.0],[1102.0],[396.0],[1110.0],[235.0],[531.0],[245.0],[943.0],[931.0],[767.0],[517.0],[771.0],[531.0],[821.0],[811.0],[769.0],[1125.0],[223.0],[821.0],[821.0],[1372.0],[149.0],[821.0],[31.0],[989.0],[821.0],[799.0],[855.0],[843.0],[536.0],[1388.0],[1173.0],[531.0],[1278.0],[111.0],[1464.0],[531.0],[34.0],[1306.0],[1180.0],[51.0],[1137.0],[569.0],[1386.0],[748.0],[937.0],[169.0],[943.0],[127.0],[612.0]
3,[446.0],[150.0],[817.0],[1464.0],[984.0],[1464.0],[1464.0],[1464.0],[821.0],[1052.0],[107.0],[1007.0],[270.0],[1464.0],[1464.0],[1054.0],[1443.0],[206.0],[523.0],[687.0],[1464.0],[351.0],[1275.0],[1256.0],[1102.0],[497.0],[139.0],[821.0],[1010.0],[531.0],[1464.0],[925.0],[1466.0],[1018.0],[1465.0],[1054.0],[1464.0],[995.0],[393.0],[1464.0],[1327.0],[1166.0],[1260.0],[972.0],[675.0],[531.0],[345.0],[1054.0],[1054.0],[414.0]
4,[1464.0],[1054.0],[1195.0],[113.0],[1366.0],[254.0],[1027.0],[931.0],[1464.0],[547.0],[612.0],[335.0],[1464.0],[1148.0],[725.0],[437.0],[126.0],[378.0],[531.0],[698.0],[1148.0],[996.0],[1054.0],[1119.0],[531.0],[918.0],[1464.0],[934.0],[714.0],[825.0],[506.0],[66.0],[1209.0],[1140.0],[1361.0],[395.0],[1220.0],[825.0],[214.0],[1054.0],[1464.0],[1464.0],[821.0],[1071.0],[1464.0],[1333.0],[1416.0],[452.0],[1271.0],[912.0]
5,[1054.0],[1209.0],[1464.0],[1054.0],[759.0],[821.0],[516.0],[1054.0],[1354.0],[580.0],[1496.0],[531.0],[1437.0],[1275.0],[821.0],[1209.0],[531.0],[731.0],[405.0],[1426.0],[1054.0],[1054.0],[1322.0],[1436.0],[1464.0],[1464.0],[1180.0],[531.0],[1227.0],[821.0],[821.0],[234.0],[1464.0],[666.0],[1291.0],[444.0],[1054.0],[1464.0],[767.0],[1157.0],[1054.0],[271.0],[1464.0],[822.0],[843.0],[821.0],[950.0],[1209.0],[1209.0],[120.0]
6,[971.0],[1151.0],[713.0],[1344.0],[462.0],[1054.0],[943.0],[1305.0],[1166.0],[416.0],[428.0],[376.0],[76.0],[891.0],[1054.0],[292.0],[73.0],[292.0],[376.0],[975.0],[1209.0],[279.0],[1083.0],[1039.0],[1452.0],[372.0],[1472.0],[604.0],[1256.0],[850.0],[1054.0],[208.0],[1027.0],[120.0],[778.0],[943.0],[1209.0],[1426.0],[91.0],[1209.0],[420.0],[716.0],[870.0],[419.0],[1406.0],[1187.0],[531.0],[314.0],[868.0],[229.0]
7,[821.0],[847.0],[795.0],[989.0],[1423.0],[1209.0],[1426.0],[351.0],[428.0],[605.0],[1464.0],[514.0],[1054.0],[1054.0],[314.0],[847.0],[12.0],[67.0],[485.0],[1302.0],[725.0],[1080.0],[1209.0],[870.0],[1054.0],[664.0],[1054.0],[1426.0],[897.0],[995.0],[600.0],[1428.0],[506.0],[1366.0],[534.0],[1209.0],[821.0],[225.0],[217.0],[847.0],[1209.0],[1054.0],[725.0],[1141.0],[1054.0],[1466.0],[1464.0],[847.0],[821.0],[531.0]
8,[1209.0],[532.0],[1054.0],[1209.0],[616.0],[1426.0],[640.0],[1209.0],[1054.0],[63.0],[101.0],[1054.0],[500.0],[6.0],[351.0],[88.0],[1464.0],[531.0],[1464.0],[1054.0],[847.0],[1209.0],[847.0],[531.0],[1209.0],[1202.0],[540.0],[887.0],[1054.0],[1426.0],[1435.0],[493.0],[1054.0],[91.0],[709.0],[1236.0],[1102.0],[1054.0],[554.0],[1083.0],[847.0],[1271.0],[1054.0],[158.0],[228.0],[485.0],[1054.0],[532.0],[847.0],[1464.0]
9,[847.0],[1447.0],[1002.0],[821.0],[772.0],[1120.0],[524.0],[847.0],[1209.0],[769.0],[495.0],[1243.0],[249.0],[1466.0],[1209.0],[989.0],[517.0],[989.0],[811.0],[156.0],[314.0],[648.0],[1429.0],[1464.0],[574.0],[844.0],[1452.0],[1465.0],[758.0],[1039.0],[1209.0],[563.0],[398.0],[1386.0],[1494.0],[12.0],[771.0],[208.0],[531.0],[198.0],[755.0],[892.0],[536.0],[102.0],[1438.0],[190.0],[789.0],[716.0],[1026.0],[821.0]
10,[737.0],[1333.0],[792.0],[126.0],[1487.0],[208.0],[1058.0],[352.0],[847.0],[1054.0],[955.0],[1209.0],[1209.0],[1209.0],[771.0],[532.0],[1080.0],[725.0],[1054.0],[1365.0],[532.0],[619.0],[532.0],[158.0],[847.0],[1291.0],[1209.0],[1464.0],[708.0],[468.0],[1157.0],[1124.0],[847.0],[260.0],[384.0],[847.0],[847.0],[1333.0],[1464.0],[532.0],[532.0],[1209.0],[1209.0],[234.0],[807.0],[1464.0],[1209.0],[306.0],[532.0],[1054.0]
11,[532.0],[475.0],[1209.0],[847.0],[549.0],[847.0],[1054.0],[821.0],[532.0],[737.0],[1054.0],[847.0],[62.0],[847.0],[529.0],[568.0],[1054.0],[1464.0],[847.0],[35.0],[671.0],[847.0],[1228.0],[1074.0],[1466.0],[688.0],[1018.0],[238.0],[1209.0],[1199.0],[847.0],[855.0],[532.0],[381.0],[986.0],[532.0],[280.0],[1209.0],[821.0],[1333.0],[1140.0],[847.0],[847.0],[621.0],[1209.0],[464.0],[847.0],[1333.0],[1333.0],[1203.0]
12,[680.0],[314.0],[1158.0],[934.0],[116.0],[383.0],[725.0],[1426.0],[12.0],[708.0],[1209.0],[523.0],[351.0],[536.0],[847.0],[1213.0],[1294.0],[126.0],[1406.0],[1406.0],[507.0],[1485.0],[1236.0],[551.0],[1026.0],[444.0],[1145.0],[957.0],[228.0],[822.0],[1083.0],[1426.0],[523.0],[876.0],[662.0],[62.0],[524.0],[847.0],[1054.0],[1145.0],[1213.0],[943.0],[811.0],[821.0],[663.0],[524.0],[943.0],[1160.0],[396.0],[1245.0]
13,[557.0],[1088.0],[847.0],[1165.0],[481.0],[72.0],[1209.0],[12.0],[1333.0],[1083.0],[847.0],[532.0],[1447.0],[1171.0],[1452.0],[1333.0],[25.0],[1054.0],[897.0],[1209.0],[1333.0],[532.0],[1103.0],[1054.0],[1015.0],[74.0],[847.0],[882.0],[621.0],[22.0],[532.0],[1256.0],[581.0],[345.0],[1080.0],[1429.0],[532.0],[1472.0],[929.0],[1104.0],[1333.0],[532.0],[1066.0],[1428.0],[600.0],[581.0],[401.0],[1104.0],[1118.0],[303.0]
14,[1333.0],[1121.0],[532.0],[1056.0],[1304.0],[532.0],[1049.0],[1271.0],[1238.0],[1209.0],[532.0],[1333.0],[847.0],[532.0],[679.0],[1104.0],[1209.0],[716.0],[532.0],[769.0],[1104.0],[1333.0],[1105.0],[1466.0],[532.0],[534.0],[532.0],[523.0],[847.0],[629.0],[42.0],[1078.0],[1333.0],[630.0],[1457.0],[1333.0],[104.0],[532.0],[955.0],[475.0],[475.0],[1333.0],[532.0],[531.0],[847.0],[249.0],[532.0],[475.0],[1104.0],[1351.0]
15,[186.0],[716.0],[1305.0],[759.0],[35.0],[264.0],[523.0],[532.0],[716.0],[536.0],[821.0],[725.0],[336.0],[219.0],[532.0],[385.0],[1250.0],[186.0],[524.0],[1335.0],[892.0],[811.0],[1187.0],[1007.0],[1278.0],[373.0],[383.0],[1054.0],[473.0],[755.0],[1145.0],[72.0],[811.0],[648.0],[1092.0],[1166.0],[444.0],[1104.0],[1209.0],[1472.0],[279.0],[12.0],[1406.0],[1464.0],[809.0],[811.0],[989.0],[403.0],[1122.0],[1254.0]
16,[1359.0],[1419.0],[717.0],[769.0],[1270.0],[1168.0],[847.0],[1050.0],[728.0],[847.0],[1333.0],[1104.0],[1372.0],[581.0],[1322.0],[475.0],[571.0],[1209.0],[758.0],[847.0],[1414.0],[1104.0],[201.0],[658.0],[234.0],[1343.0],[1333.0],[640.0],[585.0],[1317.0],[1333.0],[404.0],[247.0],[503.0],[265.0],[1240.0],[1333.0],[1145.0],[847.0],[1088.0],[1088.0],[771.0],[427.0],[1054.0],[487.0],[1054.0],[1333.0],[1088.0],[158.0],[1317.0]
17,[1426.0],[821.0],[1333.0],[532.0],[805.0],[1333.0],[536.0],[1333.0],[563.0],[401.0],[717.0],[1044.0],[532.0],[1333.0],[1236.0],[795.0],[847.0],[1151.0],[1333.0],[1294.0],[203.0],[604.0],[374.0],[1209.0],[179.0],[981.0],[1104.0],[725.0],[532.0],[87.0],[1104.0],[1410.0],[1238.0],[214.0],[373.0],[1104.0],[1104.0],[475.0],[532.0],[390.0],[390.0],[1104.0],[1333.0],[672.0],[581.0],[1209.0],[1104.0],[390.0],[475.0],[497.0]
18,[1110.0],[792.0],[1048.0],[648.0],[1469.0],[1117.0],[351.0],[1002.0],[892.0],[1271.0],[206.0],[1406.0],[891.0],[1007.0],[1333.0],[230.0],[755.0],[737.0],[716.0],[1151.0],[1110.0],[524.0],[1321.0],[931.0],[887.0],[437.0],[735.0],[1209.0],[280.0],[759.0],[1044.0],[1483.0],[1406.0],[157.0],[349.0],[1406.0],[989.0],[1157.0],[512.0],[383.0],[774.0],[1029.0],[351.0],[1209.0],[680.0],[1447.0],[769.0],[62.0],[574.0],[517.0]
19,[1233.0],[25.0],[821.0],[1480.0],[884.0],[128.0],[532.0],[1136.0],[1104.0],[532.0],[1104.0],[475.0],[1499.0],[540.0],[1102.0],[1088.0],[1469.0],[847.0],[1102.0],[532.0],[475.0],[475.0],[460.0],[821.0],[1333.0],[500.0],[475.0],[10.0],[799.0],[1343.0],[475.0],[737.0],[574.0],[1045.0],[961.0],[1355.0],[475.0],[72.0],[209.0],[261.0],[261.0],[948.0],[905.0],[160.0],[532.0],[847.0],[1157.0],[261.0],[1088.0],[372.0]
20,[208.0],[1426.0],[475.0],[1333.0],[709.0],[1104.0],[936.0],[1104.0],[1426.0],[1333.0],[1048.0],[1088.0],[1333.0],[1104.0],[894.0],[390.0],[532.0],[523.0],[1104.0],[126.0],[1088.0],[1088.0],[1247.0],[532.0],[1104.0],[1054.0],[1088.0],[811.0],[1333.0],[1298.0],[152.0],[1323.0],[1104.0],[1306.0],[1461.0],[475.0],[1088.0],[1088.0],[1426.0],[705.0],[705.0],[475.0],[1104.0],[115.0],[366.0],[532.0],[475.0],[1419.0],[937.0],[1426.0]
21,[1313.0],[1478.0],[1468.0],[1041.0],[991.0],[183.0],[891.0],[228.0],[943.0],[771.0],[475.0],[811.0],[948.0],[252.0],[1104.0],[884.0],[420.0],[1110.0],[507.0],[725.0],[437.0],[1447.0],[931.0],[62.0],[403.0],[503.0],[554.0],[847.0],[252.0],[420.0],[1102.0],[472.0],[1243.0],[584.0],[541.0],[1136.0],[292.0],[1102.0],[1462.0],[1117.0],[276.0],[1395.0],[891.0],[814.0],[1480.0],[1151.0],[126.0],[450.0],[60.0],[73.0]
22,[1165.0],[1480.0],[1427.0],[437.0],[990.0],[259.0],[1333.0],[336.0],[475.0],[1044.0],[1088.0],[390.0],[467.0],[825.0],[551.0],[261.0],[759.0],[532.0],[1350.0],[1333.0],[390.0],[390.0],[639.0],[1077.0],[475.0],[777.0],[1402.0],[936.0],[1197.0],[719.0],[1088.0],[1154.0],[1236.0],[1275.0],[727.0],[1088.0],[1426.0],[1483.0],[1400.0],[1074.0],[581.0],[1157.0],[118.0],[847.0],[634.0],[1104.0],[996.0],[573.0],[390.0],[1153.0]
23,[1236.0],[208.0],[1088.0],[1104.0],[1456.0],[475.0],[1104.0],[475.0],[850.0],[1104.0],[814.0],[905.0],[1104.0],[475.0],[249.0],[1158.0],[1333.0],[376.0],[475.0],[1070.0],[191.0],[261.0],[42.0],[1333.0],[1088.0],[1062.0],[390.0],[524.0],[1104.0],[658.0],[1019.0],[297.0],[475.0],[622.0],[500.0],[390.0],[390.0],[390.0],[208.0],[1011.0],[745.0],[1088.0],[475.0],[532.0],[1104.0],[475.0],[1088.0],[25.0],[261.0],[1209.0]
24,[906.0],[1123.0],[1375.0],[774.0],[315.0],[1472.0],[376.0],[1088.0],[1029.0],[351.0],[664.0],[1151.0],[475.0],[716.0],[475.0],[755.0],[1213.0],[73.0],[530.0],[1447.0],[737.0],[725.0],[811.0],[1140.0],[1160.0],[62.0],[1083.0],[532.0],[249.0],[450.0],[1472.0],[335.0],[376.0],[1407.0],[45.0],[523.0],[769.0],[1044.0],[725.0],[264.0],[1053.0],[62.0],[396.0],[1429.0],[1313.0],[374.0],[821.0],[420.0],[989.0],[271.0]
25,[126.0],[524.0],[245.0],[1160.0],[304.0],[1088.0],[882.0],[771.0],[698.0],[475.0],[1322.0],[261.0],[551.0],[1088.0],[513.0],[705.0],[199.0],[1333.0],[1088.0],[1104.0],[261.0],[705.0],[1136.0],[291.0],[390.0],[176.0],[261.0],[1049.0],[684.0],[777.0],[390.0],[624.0],[1088.0],[62.0],[25.0],[1048.0],[208.0],[1168.0],[730.0],[1348.0],[1074.0],[1083.0],[922.0],[225.0],[110.0],[1088.0],[1426.0],[220.0],[1052.0],[1437.0]
26,[1104.0],[390.0],[1194.0],[1426.0],[1407.0],[390.0],[475.0],[735.0],[1088.0],[1088.0],[390.0],[43.0],[1088.0],[390.0],[123.0],[1074.0],[1104.0],[771.0],[390.0],[292.0],[853.0],[1074.0],[1333.0],[1104.0],[261.0],[1250.0],[705.0],[1447.0],[365.0],[346.0],[430.0],[944.0],[1427.0],[1304.0],[1304.0],[261.0],[261.0],[261.0],[150.0],[488.0],[1011.0],[390.0],[1088.0],[1333.0],[475.0],[390.0],[390.0],[821.0],[237.0],[563.0]
27,[1480.0],[1407.0],[1080.0],[811.0],[780.0],[554.0],[771.0],[390.0],[165.0],[1148.0],[261.0],[224.0],[396.0],[1166.0],[1088.0],[1053.0],[113.0],[1104.0],[989.0],[523.0],[120.0],[1151.0],[524.0],[769.0],[62.0],[1209.0],[1117.0],[708.0],[1201.0],[860.0],[383.0],[1100.0],[821.0],[1150.0],[886.0],[536.0],[437.0],[383.0],[252.0],[376.0],[923.0],[931.0],[336.0],[1444.0],[186.0],[725.0],[217.0],[120.0],[444.0],[1110.0]
28,[989.0],[165.0],[1426.0],[523.0],[1343.0],[333.0],[390.0],[551.0],[311.0],[821.0],[115.0],[629.0],[127.0],[261.0],[1372.0],[1011.0],[1098.0],[680.0],[127.0],[475.0],[705.0],[1011.0],[551.0],[926.0],[705.0],[630.0],[1074.0],[1333.0],[986.0],[1130.0],[261.0],[531.0],[240.0],[1395.0],[571.0],[383.0],[705.0],[128.0],[179.0],[203.0],[154.0],[383.0],[390.0],[1104.0],[696.0],[261.0],[261.0],[1193.0],[705.0],[847.0]
29,[475.0],[261.0],[619.0],[475.0],[385.0],[261.0],[228.0],[878.0],[390.0],[390.0],[705.0],[399.0],[390.0],[705.0],[1136.0],[814.0],[475.0],[249.0],[261.0],[967.0],[1074.0],[523.0],[1104.0],[1426.0],[1074.0],[1056.0],[1011.0],[1151.0],[314.0],[278.0],[764.0],[71.0],[121.0],[1189.0],[435.0],[705.0],[1074.0],[705.0],[1333.0],[518.0],[1427.0],[261.0],[261.0],[475.0],[1088.0],[34.0],[1228.0],[12.0],[420.0],[1186.0]
30,[707.0],[1250.0],[1493.0],[551.0],[1108.0],[767.0],[249.0],[261.0],[1395.0],[551.0],[433.0],[58.0],[554.0],[892.0],[390.0],[821.0],[35.0],[475.0],[444.0],[811.0],[35.0],[585.0],[1447.0],[517.0],[1140.0],[1160.0],[1050.0],[396.0],[716.0],[393.0],[1117.0],[599.0],[771.0],[321.0],[379.0],[249.0],[1140.0],[554.0],[1136.0],[1243.0],[1294.0],[403.0],[1372.0],[1375.0],[737.0],[314.0],[871.0],[270.0],[1407.0],[444.0]
31,[923.0],[120.0],[940.0],[376.0],[890.0],[79.0],[261.0],[252.0],[261.0],[489.0],[1195.0],[821.0],[1271.0],[1074.0],[7.0],[1348.0],[1241.0],[1309.0],[771.0],[1088.0],[1011.0],[1348.0],[7.0],[25.0],[1011.0],[1035.0],[1030.0],[1104.0],[1250.0],[890.0],[705.0],[1216.0],[679.0],[1029.0],[759.0],[1102.0],[72.0],[502.0],[1104.0],[408.0],[731.0],[1050.0],[758.0],[1426.0],[386.0],[705.0],[705.0],[408.0],[1074.0],[1299.0]
32,[1088.0],[705.0],[375.0],[1088.0],[820.0],[705.0],[208.0],[705.0],[705.0],[261.0],[1074.0],[704.0],[261.0],[1011.0],[252.0],[518.0],[1088.0],[70.0],[705.0],[716.0],[821.0],[1271.0],[1088.0],[208.0],[1348.0],[766.0],[1348.0],[1406.0],[378.0],[872.0],[1074.0],[1016.0],[390.0],[966.0],[741.0],[1074.0],[1011.0],[1074.0],[475.0],[86.0],[1348.0],[1074.0],[705.0],[1088.0],[390.0],[241.0],[115.0],[1166.0],[377.0],[709.0]
33,[116.0],[1041.0],[768.0],[190.0],[386.0],[735.0],[551.0],[536.0],[62.0],[396.0],[1011.0],[960.0],[1102.0],[1474.0],[261.0],[820.0],[1123.0],[1088.0],[120.0],[376.0],[270.0],[314.0],[725.0],[1307.0],[1395.0],[1151.0],[948.0],[1271.0],[515.0],[199.0],[264.0],[90.0],[524.0],[1331.0],[656.0],[351.0],[507.0],[948.0],[1148.0],[396.0],[1307.0],[1160.0],[1271.0],[1149.0],[1110.0],[523.0],[314.0],[1407.0],[1116.0],[503.0]
34,[1469.0],[420.0],[1078.0],[878.0],[778.0],[812.0],[705.0],[1074.0],[1321.0],[705.0],[1305.0],[1116.0],[868.0],[988.0],[1195.0],[1322.0],[51.0],[427.0],[292.0],[390.0],[1348.0],[518.0],[1444.0],[571.0],[518.0],[45.0],[518.0],[475.0],[475.0],[235.0],[1278.0],[57.0],[261.0],[403.0],[755.0],[1011.0],[1348.0],[16.0],[198.0],[1018.0],[821.0],[614.0],[1230.0],[521.0],[379.0],[458.0],[1074.0],[273.0],[1070.0],[137.0]
35,[390.0],[1074.0],[641.0],[725.0],[1438.0],[1074.0],[1074.0],[557.0],[1410.0],[1074.0],[1348.0],[1253.0],[705.0],[1348.0],[1148.0],[69.0],[390.0],[336.0],[1074.0],[1021.0],[1145.0],[1466.0],[390.0],[1080.0],[69.0],[847.0],[69.0],[1027.0],[821.0],[1174.0],[1011.0],[1232.0],[705.0],[1130.0],[1306.0],[1348.0],[376.0],[1011.0],[1088.0],[1469.0],[518.0],[1011.0],[1074.0],[390.0],[166.0],[905.0],[446.0],[1331.0],[199.0],[1439.0]
36,[884.0],[1080.0],[428.0],[390.0],[487.0],[1145.0],[1243.0],[1148.0],[314.0],[1136.0],[1468.0],[906.0],[1120.0],[943.0],[705.0],[276.0],[271.0],[390.0],[1294.0],[1027.0],[113.0],[165.0],[523.0],[1294.0],[1029.0],[12.0],[795.0],[1088.0],[943.0],[25.0],[183.0],[722.0],[1447.0],[777.0],[753.0],[1148.0],[680.0],[529.0],[551.0],[12.0],[67.0],[437.0],[127.0],[1350.0],[73.0],[61.0],[165.0],[399.0],[116.0],[1480.0]
37,[1205.0],[586.0],[158.0],[261.0],[653.0],[1184.0],[10.0],[1011.0],[208.0],[198.0],[518.0],[304.0],[1074.0],[518.0],[948.0],[1048.0],[1386.0],[261.0],[1307.0],[261.0],[518.0],[69.0],[1375.0],[1469.0],[1277.0],[1439.0],[441.0],[1073.0],[1426.0],[304.0],[1339.0],[368.0],[513.0],[943.0],[1250.0],[1195.0],[518.0],[110.0],[390.0],[69.0],[69.0],[1195.0],[53.0],[208.0],[1144.0],[262.0],[1011.0],[705.0],[22.0],[532.0]
38,[261.0],[1011.0],[1105.0],[1166.0],[1025.0],[1011.0],[1011.0],[80.0],[1232.0],[1011.0],[69.0],[91.0],[1011.0],[661.0],[536.0],[1277.0],[261.0],[1372.0],[1011.0],[524.0],[69.0],[843.0],[261.0],[292.0],[441.0],[116.0],[1424.0],[1243.0],[936.0],[101.0],[1348.0],[561.0],[1074.0],[235.0],[966.0],[518.0],[69.0],[1348.0],[261.0],[1160.0],[1277.0],[1348.0],[1011.0],[261.0],[260.0],[1356.0],[226.0],[1426.0],[399.0],[1217.0]
39,[73.0],[1327.0],[403.0],[1148.0],[379.0],[1083.0],[1406.0],[891.0],[1074.0],[891.0],[1375.0],[1313.0],[1236.0],[12.0],[1426.0],[420.0],[731.0],[705.0],[1478.0],[771.0],[1123.0],[1406.0],[1151.0],[276.0],[943.0],[1243.0],[1158.0],[390.0],[704.0],[1098.0],[735.0],[818.0],[1007.0],[487.0],[607.0],[1372.0],[126.0],[80.0],[536.0],[1140.0],[820.0],[989.0],[249.0],[272.0],[362.0],[165.0],[1151.0],[1340.0],[90.0],[530.0]
40,[1056.0],[421.0],[1401.0],[705.0],[253.0],[664.0],[1002.0],[1348.0],[72.0],[485.0],[370.0],[196.0],[1007.0],[1090.0],[1074.0],[441.0],[296.0],[1305.0],[759.0],[705.0],[1426.0],[1277.0],[705.0],[1053.0],[1424.0],[532.0],[661.0],[261.0],[208.0],[1037.0],[518.0],[166.0],[1011.0],[1464.0],[820.0],[1472.0],[1483.0],[518.0],[1120.0],[1277.0],[441.0],[1240.0],[1311.0],[705.0],[202.0],[1074.0],[1348.0],[208.0],[1011.0],[362.0]
41,[705.0],[1348.0],[1484.0],[165.0],[728.0],[1348.0],[1348.0],[383.0],[1458.0],[1348.0],[1277.0],[214.0],[1348.0],[280.0],[219.0],[1424.0],[705.0],[1136.0],[1348.0],[916.0],[1277.0],[366.0],[1074.0],[475.0],[661.0],[1140.0],[821.0],[376.0],[164.0],[303.0],[69.0],[973.0],[1348.0],[1477.0],[777.0],[69.0],[1277.0],[69.0],[705.0],[1044.0],[226.0],[518.0],[1348.0],[1074.0],[1423.0],[364.0],[1121.0],[1074.0],[827.0],[683.0]
42,[1309.0],[759.0],[600.0],[396.0],[64.0],[1050.0],[219.0],[396.0],[1011.0],[127.0],[1158.0],[186.0],[599.0],[1029.0],[1011.0],[308.0],[1309.0],[1074.0],[517.0],[1243.0],[1476.0],[291.0],[314.0],[884.0],[892.0],[1333.0],[1002.0],[351.0],[449.0],[571.0],[767.0],[190.0],[1151.0],[1343.0],[639.0],[891.0],[1165.0],[1271.0],[219.0],[1313.0],[385.0],[680.0],[551.0],[7.0],[989.0],[1406.0],[818.0],[524.0],[892.0],[989.0]
43,[918.0],[1135.0],[1300.0],[557.0],[122.0],[206.0],[371.0],[518.0],[1483.0],[518.0],[1184.0],[509.0],[536.0],[183.0],[1157.0],[1350.0],[1056.0],[1050.0],[199.0],[1074.0],[208.0],[441.0],[679.0],[1407.0],[499.0],[543.0],[499.0],[705.0],[1184.0],[2.0],[66.0],[811.0],[529.0],[892.0],[707.0],[1044.0],[1168.0],[143.0],[745.0],[441.0],[444.0],[1350.0],[228.0],[72.0],[883.0],[336.0],[518.0],[1011.0],[1348.0],[1333.0]
44,[1074.0],[518.0],[1420.0],[1243.0],[1256.0],[518.0],[518.0],[1102.0],[1078.0],[69.0],[441.0],[1304.0],[518.0],[364.0],[1027.0],[661.0],[1074.0],[252.0],[518.0],[683.0],[441.0],[55.0],[1011.0],[1088.0],[446.0],[759.0],[1426.0],[771.0],[604.0],[1225.0],[1277.0],[1464.0],[745.0],[265.0],[1364.0],[1277.0],[441.0],[1277.0],[1074.0],[799.0],[1424.0],[69.0],[518.0],[1011.0],[152.0],[1018.0],[1018.0],[1348.0],[1141.0],[894.0]
45,[769.0],[648.0],[342.0],[1074.0],[1169.0],[948.0],[1148.0],[127.0],[1151.0],[336.0],[795.0],[1480.0],[614.0],[1395.0],[1348.0],[571.0],[1110.0],[1011.0],[878.0],[314.0],[707.0],[931.0],[165.0],[618.0],[42.0],[811.0],[1195.0],[127.0],[1029.0],[1176.0],[554.0],[353.0],[219.0],[890.0],[1347.0],[1271.0],[1480.0],[1372.0],[249.0],[821.0],[116.0],[378.0],[1136.0],[513.0],[1140.0],[89.0],[931.0],[472.0],[716.0],[1309.0]
46,[1098.0],[774.0],[703.0],[1011.0],[1420.0],[69.0],[794.0],[69.0],[1168.0],[473.0],[1424.0],[1037.0],[219.0],[1083.0],[1083.0],[868.0],[1011.0],[1472.0],[67.0],[1011.0],[72.0],[1424.0],[529.0],[737.0],[154.0],[1218.0],[446.0],[1074.0],[882.0],[1353.0],[1300.0],[314.0],[518.0],[1160.0],[1110.0],[441.0],[1424.0],[441.0],[1011.0],[1424.0],[661.0],[127.0],[473.0],[1483.0],[206.0],[891.0],[69.0],[1007.0],[518.0],[590.0]
47,[1011.0],[69.0],[1042.0],[524.0],[1295.0],[1277.0],[69.0],[1159.0],[173.0],[1277.0],[661.0],[1150.0],[69.0],[675.0],[1310.0],[499.0],[1348.0],[461.0],[69.0],[931.0],[1424.0],[1228.0],[1348.0],[390.0],[810.0],[1104.0],[208.0],[1007.0],[23.0],[1428.0],[441.0],[13.0],[395.0],[384.0],[1403.0],[1424.0],[661.0],[1424.0],[1348.0],[661.0],[499.0],[1277.0],[69.0],[1348.0],[430.0],[1011.0],[869.0],[518.0],[593.0],[1495.0]
48,[437.0],[571.0],[62.0],[1348.0],[1069.0],[1060.0],[1007.0],[868.0],[1348.0],[868.0],[1002.0],[1165.0],[1157.0],[507.0],[518.0],[1300.0],[737.0],[1348.0],[62.0],[1007.0],[271.0],[29.0],[1406.0],[271.0],[716.0],[165.0],[814.0],[868.0],[1395.0],[1469.0],[1050.0],[422.0],[536.0],[1037.0],[531.0],[336.0],[906.0],[336.0],[1007.0],[444.0],[1407.0],[517.0],[1148.0],[679.0],[943.0],[1027.0],[1447.0],[811.0],[1166.0],[769.0]
49,[719.0],[755.0],[944.0],[377.0],[1039.0],[441.0],[1277.0],[1277.0],[518.0],[1356.0],[888.0],[1130.0],[1148.0],[771.0],[1243.0],[446.0],[1272.0],[1149.0],[1277.0],[1348.0],[661.0],[661.0],[513.0],[716.0],[932.0],[877.0],[154.0],[1011.0],[1068.0],[86.0],[832.0],[1054.0],[244.0],[716.0],[270.0],[1157.0],[128.0],[661.0],[631.0],[499.0],[446.0],[1007.0],[645.0],[1168.0],[650.0],[1348.0],[1277.0],[69.0],[102.0],[832.0]
